2025-12-07 13:15:42 | INFO | config:create_directories:112 | 目录结构初始化完成
2025-12-07 13:15:42 | INFO | run:process_single_markdown_to_images:153 | 处理Markdown文件到图片: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\markdown\面试官：模型如何在指令微调过程中构造或筛选高质量数据？.md
2025-12-07 13:15:42 | ERROR | md2html:convert_md_to_html:381 | Markdown转HTML失败: BeautifulSoup.new_tag() got multiple values for argument 'name'
2025-12-07 13:15:42 | ERROR | run:process_single_markdown_to_images:158 | Markdown转HTML失败: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\markdown\面试官：模型如何在指令微调过程中构造或筛选高质量数据？.md
2025-12-07 13:29:22 | INFO | config:create_directories:112 | 目录结构初始化完成
2025-12-07 13:29:22 | INFO | run:process_folder_to_images:261 | 在文件夹中找到 3 个Markdown文件: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output
2025-12-07 13:29:22 | INFO | run:process_single_markdown_to_images:137 | 从文件路径推断任务目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630
2025-12-07 13:29:22 | INFO | run:process_single_markdown_to_images:153 | 处理Markdown文件到图片: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\markdown\embedding模型和reranker模型的损失函数有什么区别？.md
2025-12-07 13:29:22 | SUCCESS | md2html:convert_md_to_html:378 | Markdown转HTML成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\markdown\embedding模型和reranker模型的损失函数有什么区别？.md -> D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\html\embedding模型和reranker模型的损失函数有什么区别？.html
2025-12-07 13:29:25 | INFO | html2jpg:_init_driver:37 | ChromeDriver初始化成功
2025-12-07 13:29:25 | INFO | html2jpg:html_to_long_image:57 | 加载HTML文件: file://D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\html\embedding模型和reranker模型的损失函数有什么区别？.html
2025-12-07 13:29:28 | DEBUG | html2jpg:_get_accurate_page_height:166 | 高度计算: 最终=3353.296875
2025-12-07 13:29:28 | INFO | html2jpg:html_to_long_image:72 | 计算后页面尺寸: 1169 x 3353.296875
2025-12-07 13:29:30 | DEBUG | html2jpg:_get_accurate_page_height:166 | 高度计算: 最终=3155
2025-12-07 13:29:32 | INFO | html2jpg:html_to_long_image:122 | 长图片保存成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\segmented\long_image.png, 尺寸: (1084, 3108)
2025-12-07 13:29:32 | INFO | html2jpg:process_html:473 | 水印图片保存成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\segmented\watermarked_image.png
2025-12-07 13:29:32 | INFO | html2jpg:split_image:425 | 图片切分完成: 3 个片段，保存至 D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\segmented\segments
2025-12-07 13:29:32 | SUCCESS | run:process_single_markdown_to_images:176 | 图片生成完成: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\markdown\embedding模型和reranker模型的损失函数有什么区别？.md
2025-12-07 13:29:32 | INFO | run:process_single_markdown_to_images:177 | 输出目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630
2025-12-07 13:29:34 | INFO | html2jpg:close:498 | ChromeDriver已关闭
2025-12-07 13:29:34 | INFO | run:process_single_markdown_to_images:137 | 从文件路径推断任务目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632
2025-12-07 13:29:34 | INFO | run:process_single_markdown_to_images:153 | 处理Markdown文件到图片: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\markdown\医学人工智能实验室6篇论文被NeurIPS 2025录用.md
2025-12-07 13:29:34 | SUCCESS | md2html:convert_md_to_html:378 | Markdown转HTML成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\markdown\医学人工智能实验室6篇论文被NeurIPS 2025录用.md -> D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\html\医学人工智能实验室6篇论文被NeurIPS 2025录用.html
2025-12-07 13:29:37 | INFO | html2jpg:_init_driver:37 | ChromeDriver初始化成功
2025-12-07 13:29:37 | INFO | html2jpg:html_to_long_image:57 | 加载HTML文件: file://D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\html\医学人工智能实验室6篇论文被NeurIPS 2025录用.html
2025-12-07 13:29:41 | DEBUG | html2jpg:_get_accurate_page_height:166 | 高度计算: 最终=7540.046875
2025-12-07 13:29:41 | INFO | html2jpg:html_to_long_image:72 | 计算后页面尺寸: 1169 x 7540.046875
2025-12-07 13:29:43 | DEBUG | html2jpg:_get_accurate_page_height:166 | 高度计算: 最终=7155
2025-12-07 13:29:45 | INFO | html2jpg:html_to_long_image:122 | 长图片保存成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\segmented\long_image.png, 尺寸: (1084, 7108)
2025-12-07 13:29:46 | INFO | html2jpg:process_html:473 | 水印图片保存成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\segmented\watermarked_image.png
2025-12-07 13:29:46 | INFO | html2jpg:split_image:425 | 图片切分完成: 6 个片段，保存至 D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\segmented\segments
2025-12-07 13:29:46 | SUCCESS | run:process_single_markdown_to_images:176 | 图片生成完成: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\markdown\医学人工智能实验室6篇论文被NeurIPS 2025录用.md
2025-12-07 13:29:46 | INFO | run:process_single_markdown_to_images:177 | 输出目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632
2025-12-07 13:29:48 | INFO | html2jpg:close:498 | ChromeDriver已关闭
2025-12-07 13:29:48 | INFO | run:process_single_markdown_to_images:137 | 从文件路径推断任务目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637
2025-12-07 13:29:48 | INFO | run:process_single_markdown_to_images:153 | 处理Markdown文件到图片: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\markdown\面试官：模型如何在指令微调过程中构造或筛选高质量数据？.md
2025-12-07 13:29:48 | SUCCESS | md2html:convert_md_to_html:378 | Markdown转HTML成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\markdown\面试官：模型如何在指令微调过程中构造或筛选高质量数据？.md -> D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\html\面试官：模型如何在指令微调过程中构造或筛选高质量数据？.html
2025-12-07 13:29:59 | INFO | html2jpg:_init_driver:37 | ChromeDriver初始化成功
2025-12-07 13:29:59 | INFO | html2jpg:html_to_long_image:57 | 加载HTML文件: file://D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\html\面试官：模型如何在指令微调过程中构造或筛选高质量数据？.html
2025-12-07 13:30:02 | DEBUG | html2jpg:_get_accurate_page_height:166 | 高度计算: 最终=1409
2025-12-07 13:30:02 | INFO | html2jpg:html_to_long_image:72 | 计算后页面尺寸: 1169 x 1409
2025-12-07 13:30:04 | DEBUG | html2jpg:_get_accurate_page_height:166 | 高度计算: 最终=1139
2025-12-07 13:30:07 | INFO | html2jpg:html_to_long_image:122 | 长图片保存成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\segmented\long_image.png, 尺寸: (1084, 1092)
2025-12-07 13:30:07 | INFO | html2jpg:process_html:473 | 水印图片保存成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\segmented\watermarked_image.png
2025-12-07 13:30:07 | INFO | html2jpg:split_image:425 | 图片切分完成: 1 个片段，保存至 D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\segmented\segments
2025-12-07 13:30:07 | SUCCESS | run:process_single_markdown_to_images:176 | 图片生成完成: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\markdown\面试官：模型如何在指令微调过程中构造或筛选高质量数据？.md
2025-12-07 13:30:07 | INFO | run:process_single_markdown_to_images:177 | 输出目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637
2025-12-07 13:30:09 | INFO | html2jpg:close:498 | ChromeDriver已关闭
2025-12-07 14:19:54 | INFO | config:create_directories:112 | 目录结构初始化完成
2025-12-07 14:19:54 | INFO | run:process_folder_to_images:261 | 在文件夹中找到 3 个Markdown文件: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output
2025-12-07 14:19:54 | INFO | run:process_single_markdown_to_images:137 | 从文件路径推断任务目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630
2025-12-07 14:19:54 | INFO | run:process_single_markdown_to_images:153 | 处理Markdown文件到图片: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\markdown\embedding模型和reranker模型的损失函数有什么区别？.md
2025-12-07 14:19:54 | SUCCESS | md2html:convert_md_to_html:378 | Markdown转HTML成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\markdown\embedding模型和reranker模型的损失函数有什么区别？.md -> D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\html\embedding模型和reranker模型的损失函数有什么区别？.html
2025-12-07 14:19:58 | INFO | html2jpg:_init_driver:37 | ChromeDriver初始化成功
2025-12-07 14:19:58 | INFO | html2jpg:html_to_long_image:57 | 加载HTML文件: file://D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\html\embedding模型和reranker模型的损失函数有什么区别？.html
2025-12-07 14:20:02 | DEBUG | html2jpg:_get_accurate_page_height:166 | 高度计算: 最终=3353.296875
2025-12-07 14:20:02 | INFO | html2jpg:html_to_long_image:72 | 计算后页面尺寸: 1169 x 3353.296875
2025-12-07 14:20:04 | DEBUG | html2jpg:_get_accurate_page_height:166 | 高度计算: 最终=3155
2025-12-07 14:20:06 | INFO | html2jpg:html_to_long_image:122 | 长图片保存成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\segmented\long_image.png, 尺寸: (1084, 3108)
2025-12-07 14:20:07 | INFO | html2jpg:process_html:473 | 水印图片保存成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\segmented\watermarked_image.png
2025-12-07 14:20:07 | INFO | html2jpg:split_image:425 | 图片切分完成: 3 个片段，保存至 D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\segmented\segments
2025-12-07 14:20:07 | SUCCESS | run:process_single_markdown_to_images:176 | 图片生成完成: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\markdown\embedding模型和reranker模型的损失函数有什么区别？.md
2025-12-07 14:20:07 | INFO | run:process_single_markdown_to_images:177 | 输出目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630
2025-12-07 14:20:09 | INFO | html2jpg:close:498 | ChromeDriver已关闭
2025-12-07 14:20:09 | INFO | run:process_single_markdown_to_images:137 | 从文件路径推断任务目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632
2025-12-07 14:20:09 | INFO | run:process_single_markdown_to_images:153 | 处理Markdown文件到图片: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\markdown\医学人工智能实验室6篇论文被NeurIPS 2025录用.md
2025-12-07 14:20:09 | SUCCESS | md2html:convert_md_to_html:378 | Markdown转HTML成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\markdown\医学人工智能实验室6篇论文被NeurIPS 2025录用.md -> D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\html\医学人工智能实验室6篇论文被NeurIPS 2025录用.html
2025-12-07 14:20:17 | INFO | html2jpg:_init_driver:37 | ChromeDriver初始化成功
2025-12-07 14:20:17 | INFO | html2jpg:html_to_long_image:57 | 加载HTML文件: file://D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\html\医学人工智能实验室6篇论文被NeurIPS 2025录用.html
2025-12-07 14:20:21 | DEBUG | html2jpg:_get_accurate_page_height:166 | 高度计算: 最终=7540.046875
2025-12-07 14:20:21 | INFO | html2jpg:html_to_long_image:72 | 计算后页面尺寸: 1169 x 7540.046875
2025-12-07 14:20:23 | DEBUG | html2jpg:_get_accurate_page_height:166 | 高度计算: 最终=7155
2025-12-07 14:20:26 | INFO | html2jpg:html_to_long_image:122 | 长图片保存成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\segmented\long_image.png, 尺寸: (1084, 7108)
2025-12-07 14:20:26 | INFO | html2jpg:process_html:473 | 水印图片保存成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\segmented\watermarked_image.png
2025-12-07 14:20:27 | INFO | html2jpg:split_image:425 | 图片切分完成: 6 个片段，保存至 D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\segmented\segments
2025-12-07 14:20:27 | SUCCESS | run:process_single_markdown_to_images:176 | 图片生成完成: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\markdown\医学人工智能实验室6篇论文被NeurIPS 2025录用.md
2025-12-07 14:20:27 | INFO | run:process_single_markdown_to_images:177 | 输出目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632
2025-12-07 14:20:29 | INFO | html2jpg:close:498 | ChromeDriver已关闭
2025-12-07 14:20:29 | INFO | run:process_single_markdown_to_images:137 | 从文件路径推断任务目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637
2025-12-07 14:20:29 | INFO | run:process_single_markdown_to_images:153 | 处理Markdown文件到图片: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\markdown\面试官：模型如何在指令微调过程中构造或筛选高质量数据？.md
2025-12-07 14:20:29 | SUCCESS | md2html:convert_md_to_html:378 | Markdown转HTML成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\markdown\面试官：模型如何在指令微调过程中构造或筛选高质量数据？.md -> D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\html\面试官：模型如何在指令微调过程中构造或筛选高质量数据？.html
2025-12-07 14:20:33 | INFO | html2jpg:_init_driver:37 | ChromeDriver初始化成功
2025-12-07 14:20:33 | INFO | html2jpg:html_to_long_image:57 | 加载HTML文件: file://D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\html\面试官：模型如何在指令微调过程中构造或筛选高质量数据？.html
2025-12-07 14:20:36 | DEBUG | html2jpg:_get_accurate_page_height:166 | 高度计算: 最终=1409
2025-12-07 14:20:36 | INFO | html2jpg:html_to_long_image:72 | 计算后页面尺寸: 1169 x 1409
2025-12-07 14:20:38 | DEBUG | html2jpg:_get_accurate_page_height:166 | 高度计算: 最终=1139
2025-12-07 14:20:40 | INFO | html2jpg:html_to_long_image:122 | 长图片保存成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\segmented\long_image.png, 尺寸: (1084, 1092)
2025-12-07 14:20:41 | INFO | html2jpg:process_html:473 | 水印图片保存成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\segmented\watermarked_image.png
2025-12-07 14:20:41 | INFO | html2jpg:split_image:425 | 图片切分完成: 1 个片段，保存至 D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\segmented\segments
2025-12-07 14:20:41 | SUCCESS | run:process_single_markdown_to_images:176 | 图片生成完成: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637\markdown\面试官：模型如何在指令微调过程中构造或筛选高质量数据？.md
2025-12-07 14:20:41 | INFO | run:process_single_markdown_to_images:177 | 输出目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\面试官：模型如何在指令微调过程中构造或筛选高质量数据？_20251207_125637
2025-12-07 14:20:43 | INFO | html2jpg:close:498 | ChromeDriver已关闭
2025-12-07 14:22:00 | INFO | config:create_directories:112 | 目录结构初始化完成
2025-12-07 14:22:00 | INFO | run:process_folder_to_images:261 | 在文件夹中找到 3 个Markdown文件: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output
2025-12-07 14:22:00 | INFO | run:process_single_markdown_to_images:137 | 从文件路径推断任务目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630
2025-12-07 14:22:00 | INFO | run:process_single_markdown_to_images:153 | 处理Markdown文件到图片: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\markdown\embedding模型和reranker模型的损失函数有什么区别？.md
2025-12-07 14:22:00 | SUCCESS | md2html:convert_md_to_html:378 | Markdown转HTML成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\markdown\embedding模型和reranker模型的损失函数有什么区别？.md -> D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\html\embedding模型和reranker模型的损失函数有什么区别？.html
2025-12-07 14:22:03 | INFO | html2jpg:_init_driver:37 | ChromeDriver初始化成功
2025-12-07 14:22:03 | INFO | html2jpg:html_to_long_image:57 | 加载HTML文件: file://D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\html\embedding模型和reranker模型的损失函数有什么区别？.html
2025-12-07 14:22:06 | DEBUG | html2jpg:_get_accurate_page_height:166 | 高度计算: 最终=2699.046875
2025-12-07 14:22:06 | INFO | html2jpg:html_to_long_image:72 | 计算后页面尺寸: 1169 x 2699.046875
2025-12-07 14:22:08 | DEBUG | html2jpg:_get_accurate_page_height:166 | 高度计算: 最终=2501
2025-12-07 14:22:11 | INFO | html2jpg:html_to_long_image:122 | 长图片保存成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\segmented\long_image.png, 尺寸: (1084, 2454)
2025-12-07 14:22:11 | INFO | html2jpg:process_html:473 | 水印图片保存成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\segmented\watermarked_image.png
2025-12-07 14:22:11 | INFO | html2jpg:split_image:425 | 图片切分完成: 3 个片段，保存至 D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\segmented\segments
2025-12-07 14:22:11 | SUCCESS | run:process_single_markdown_to_images:176 | 图片生成完成: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630\markdown\embedding模型和reranker模型的损失函数有什么区别？.md
2025-12-07 14:22:11 | INFO | run:process_single_markdown_to_images:177 | 输出目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\embedding模型和reranker模型的损失函数有什么区别？_20251207_125630
2025-12-07 14:22:13 | INFO | html2jpg:close:498 | ChromeDriver已关闭
2025-12-07 14:22:13 | INFO | run:process_single_markdown_to_images:137 | 从文件路径推断任务目录: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632
2025-12-07 14:22:13 | INFO | run:process_single_markdown_to_images:153 | 处理Markdown文件到图片: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\markdown\医学人工智能实验室6篇论文被NeurIPS 2025录用.md
2025-12-07 14:22:13 | SUCCESS | md2html:convert_md_to_html:378 | Markdown转HTML成功: D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\markdown\医学人工智能实验室6篇论文被NeurIPS 2025录用.md -> D:\LM-Is-All-You-Need\3、生产力工具篇\html2image_toolkit\data\output\final\医学人工智能实验室6篇论文被NeurIPS 2025录用_20251207_125632\html\医学人工智能实验室6篇论文被NeurIPS 2025录用.html
2025-12-07 14:22:16 | INFO | html2jpg:_init_driver:37 | ChromeDriver初始化成功
